,Store,Product Name,Product Number,Currency,Price,Brand Name,Product URL,Product Picture URL
10,DM,"Spiralkerzen, marmoriert, blue marbled, 1 St",4051271214715,Eur,"2,95 ",RICO DESIGN,https://www.dm.de/rico-design-spiralkerzen-marmoriert-blue-marbled-p4051271214715.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1709897178/products/pim/4051271214715-654231887/rico-design-spiralkerzen-marmoriert-blue-marbled"
11,DM,"Stoppersocken mit Einhorn-Motiv, rosa, Gr. 23/24, 1 St",4066447647112,Eur,"3,90 ",ALANA,https://www.dm.de/alana-stoppersocken-mit-einhorn-motiv-rosa-gr-23-24-p4066447647112.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791703/products/pim/FS24A00661_vorne/alana-stoppersocken-mit-einhorn-motiv-rosa-gr-23-24"
12,DM,"Schlafanzug Pro Climate mit Blumen-Muster,..., 1 St",4066447597363,Eur,"9,90 ",ALANA,https://www.dm.de/alana-schlafanzug-pro-climate-mit-blumen-muster-beige-gr-92-p4066447597363.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24W00016_vorne/alana-schlafanzug-pro-climate-mit-blumen-muster-beige-gr-92"
13,DM,"Bastelfarbenset, 1 St",4066447175417,Eur,"6,95 ",Profissimo,https://www.dm.de/profissimo-bastelfarbenset-p4066447175417.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699573931/products/pim/4066447175417-4141330/profissimo-bastelfarbenset"
14,DM,"Starterset, Rasierer Fusion5, 1 St",8001090421258,Eur,"9,95 ",Gillette,https://www.dm.de/gillette-starterset-rasierer-fusion5-p8001090421258.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1718843361/products/pim/8001090421258-657419366/gillette-starterset-rasierer-fusion5"
15,DM,"Saatgutbox, Gemüse für Kinder (15x19,8x4,3 cm), 1 St",4270003891417,Eur,"11,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-saatgutbox-gemuese-fuer-kinder-15x19-8x4-3-cm-p4270003891417.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1712738893/products/pim/4270003891417-372984900/dekorieren-und-einrichten-saatgutbox-gemuese-fuer-kinder-15x19-8x4-3-cm"
16,DM,"Kaffeefilter Premium Größe 4 braun, 80 St",4047041415505,Eur,"1,75 ",EMMA®,https://www.dm.de/emma-kaffeefilter-premium-groesse-4-braun-p4047041415505.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1701870254/products/pim/4047041415505-679443598/emma-kaffeefilter-premium-groesse-4-braun"
17,DM,"Schlafanzug mit Libellen-Muster, rosa & grün,..., 1 St",4066447597554,Eur,"9,90 ",ALANA,https://www.dm.de/alana-schlafanzug-mit-libellen-muster-rosa-und-gruen-gr-92-p4066447597554.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24W00014_vorne/alana-schlafanzug-mit-libellen-muster-rosa-und-gruen-gr-92"
18,DM,"Mütze mit Ringeln, bunt, Gr. 52/53, 1 St",4066447604078,Eur,"4,90 ",ALANA,https://www.dm.de/alana-muetze-mit-ringeln-bunt-gr-52-53-p4066447604078.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00253_vorne/alana-muetze-mit-ringeln-bunt-gr-52-53"
19,DM,"Loop Schal mit Blumen-Muster, beige, 1 St",4066447604702,Eur,"4,90 ",ALANA,https://www.dm.de/alana-loop-schal-mit-blumen-muster-beige-p4066447604702.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24A00250_vorne/alana-loop-schal-mit-blumen-muster-beige"
20,DM,"Seifenspender, sand (250 ml), 1 St",4002942537466,Eur,"11,95 ",Koziol,https://www.dm.de/koziol-seifenspender-sand-250-ml-p4002942537466.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1706171098/products/pim/4002942537466-1219825879/koziol-seifenspender-sand-250-ml"
21,DM,"Jacke aus Jeansstoff, blau, Gr. 104, 1 St",4066447590012,Eur,"11,90 ",ALANA,https://www.dm.de/alana-jacke-aus-jeansstoff-blau-gr-104-p4066447590012.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791702/products/pim/FS24K00740_vorne/alana-jacke-aus-jeansstoff-blau-gr-104"
22,DM,"Concealer Stick Dark, 3,2 g",5057566628754,Eur,"4,95 ",REVOLUTION MAN,https://www.dm.de/revolution-man-concealer-stick-dark-p5057566628754.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451319/products/pim/5057566628754-3987752/revolution-man-concealer-stick-dark"
23,DM,"Strumpfhose mit Ringeln, rosa & gelb, Gr. 110/116, 1 St",4066447644081,Eur,"4,90 ",ALANA,https://www.dm.de/alana-strumpfhose-mit-ringeln-rosa-und-gelb-gr-110-116-p4066447644081.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791703/products/pim/FS24A00766_vorne/alana-strumpfhose-mit-ringeln-rosa-und-gelb-gr-110-116"
24,DM,"Windlicht aus Glas, beige (12x12x15 cm), 1 St",4047096944326,Eur,"8,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-windlicht-aus-glas-beige-12x12x15-cm-p4047096944326.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1714496605/products/pim/4047096944326-1822855002/dekorieren-und-einrichten-windlicht-aus-glas-beige-12x12x15-cm"
25,DM,"Saatgutbox, Gemüse für Anfänger (15x19,8x4,3 cm), 1 St",4270003891400,Eur,"13,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-saatgutbox-gemuese-fuer-anfaenger-15x19-8x4-3-cm-p4270003891400.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1712737844/products/pim/4270003891400-1464725798/dekorieren-und-einrichten-saatgutbox-gemuese-fuer-anfaenger-15x19-8x4-3-cm"
26,DM,"Windlicht aus Bambus, greige (29,5x29,5x32 cm), 1 St",8719533393252,Eur,"17,95 ",Dekorieren & Einrichten,https://www.dm.de/dekorieren-und-einrichten-windlicht-aus-bambus-greige-29-5x29-5x32-cm-p8719533393252.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1703248516/products/pim/8719533393252-815140397/dekorieren-und-einrichten-windlicht-aus-bambus-greige-29-5x29-5x32-cm"
